date,open,high,low,close,volume
2025-10-31,117.5,117.6875,117.15625,117.3125,464567
2025-11-03,117.34375,117.5625,116.90625,117.15625,0
2025-11-04,117.09375,117.5625,117.03125,117.40625,290641
2025-11-05,117.40625,117.875,116.34375,116.4375,556027
2025-11-06,116.40625,117.4375,116.375,117.21875,405927
2025-11-07,117.34375,117.4375,116.8125,117.0625,390853
2025-11-10,116.78125,117.1875,116.3125,117.0,368735
2025-11-11,116.90625,117.59375,116.75,117.5,148309
2025-11-12,117.46875,117.84375,117.15625,117.625,417338
2025-11-13,117.5,117.71875,116.90625,117.09375,490007
2025-11-14,116.96875,117.71875,116.4375,116.5,573376
2025-11-17,116.4375,117.0,116.3125,116.71875,491393
2025-11-18,116.59375,117.25,116.46875,116.71875,523617
2025-11-19,116.84375,117.0625,116.4375,116.59375,505416
2025-11-20,116.5,117.15625,116.1875,116.90625,1038103
2025-11-21,117.0625,117.6875,116.875,117.21875,1349386
2025-11-24,117.1875,117.78125,117.15625,117.71875,1014235
2025-11-25,117.75,118.4375,117.5625,118.09375,626731
2025-11-26,118.21875,118.3125,117.53125,118.21875,192371
2025-11-28,118.25,118.3125,117.625,117.875,6163
2025-12-01,117.875,117.875,116.65625,116.71875,19949
2025-12-02,116.8125,116.875,116.4375,116.84375,7156
2025-12-03,116.75,117.25,116.75,117.21875,9308
2025-12-04,116.875,116.875,116.53125,116.5625,11255
2025-12-05,116.6875,116.6875,116.09375,116.125,11849
2025-12-08,116.03125,116.34375,115.53125,115.65625,755
2025-12-09,115.9375,115.9375,115.6875,115.75,5487
2025-12-10,116.09375,116.28125,115.90625,115.9375,2382
2025-12-11,116.46875,116.6875,115.96875,116.1875,3975
2025-12-12,116.125,116.125,115.28125,115.28125,3529
2025-12-15,115.53125,115.59375,115.4375,115.46875,1087
2025-12-16,115.625,115.96875,115.1875,115.96875,1055
2025-12-17,115.53125,115.90625,115.53125,115.84375,338
2025-12-18,116.46875,116.46875,116.28125,116.3125,145
2025-12-19,115.78125,116.1875,115.78125,115.9375,272458
2025-12-22,115.34375,115.34375,114.96875,115.125,215486
2025-12-23,115.21875,115.625,114.75,115.28125,322970
2025-12-24,115.3125,115.8125,115.21875,115.78125,165448
2025-12-26,115.71875,116.0625,115.40625,115.53125,214209
2025-12-29,115.59375,116.125,115.4375,115.875,263345
2025-12-30,115.96875,116.09375,115.5,115.8125,341652
2025-12-31,115.90625,116.25,115.125,115.59375,386355
2026-01-02,115.25,115.5625,114.875,115.0625,379411
2026-01-05,115.0,115.59375,114.875,115.3125,461753
2026-01-06,115.34375,115.40625,114.8125,115.15625,494632
2026-01-07,115.15625,116.03125,115.125,115.90625,582820
2026-01-08,115.71875,115.9375,115.28125,115.375,493170
2026-01-09,115.6875,115.90625,115.03125,115.78125,668351
2026-01-12,115.75,115.96875,115.15625,115.625,609194
2026-01-13,115.71875,116.0,115.375,115.8125,496579
2026-01-14,115.6875,116.46875,115.59375,116.3125,512194
2026-01-15,116.40625,116.59375,116.09375,116.3125,486871
2026-01-16,116.125,116.25,115.375,115.4375,560629
2026-01-20,115.65625,115.71875,113.875,114.25,983559
2026-01-21,114.1875,115.125,114.0,114.96875,753316
2026-01-22,115.0625,115.34375,114.6875,115.1875,519208
2026-01-23,115.28125,115.65625,115.0,115.34375,491467
2026-01-26,115.625,116.03125,115.5625,115.84375,414012
2026-01-27,115.78125,115.84375,115.0,115.53125,452489
2026-01-28,115.0625,115.375,114.75,115.09375,485010
2026-01-29,115.125,115.28125,114.5625,115.21875,586117
2026-01-30,115.15625,115.1875,114.375,115.125,736190
2026-02-02,114.9375,115.46875,114.4375,114.625,545568
2026-02-03,114.46875,114.8125,114.21875,114.59375,499902
2026-02-04,114.71875,114.84375,114.34375,114.53125,523829
2026-02-05,114.5,115.75,114.375,115.375,630273
2026-02-06,115.75,116.09375,115.21875,115.5,437339
2026-02-09,115.3125,115.65625,114.84375,115.5625,444174
2026-02-10,115.46875,116.625,115.40625,116.46875,524069
2026-02-11,116.46875,116.78125,115.71875,116.09375,644566
2026-02-12,116.15625,117.34375,116.0,117.28125,595876
2026-02-13,117.1875,117.9375,116.9375,117.78125,609197
2026-02-17,117.8125,118.375,117.65625,118.0,662088
2026-02-18,117.875,118.09375,117.5,117.625,579826
2026-02-19,117.59375,117.75,117.25,117.65625,536950
2026-02-20,117.71875,117.9375,117.03125,117.40625,823359
2026-02-23,117.40625,118.15625,117.1875,118.0,1423464
2026-02-24,117.90625,118.15625,117.71875,118.03125,1088703
2026-02-25,118.0625,118.15625,117.65625,117.90625,538846
2026-02-26,117.875,118.40625,117.78125,118.28125,132826
2026-02-27,118.40625,119.09375,118.375,118.875,25659
2026-03-02,119.375,119.59375,117.65625,117.84375,20837
